Country/Region,Confirmed,Deaths,Mortality Rate
Mainland China,70446,1765,2.5054651790023565
Others,355,0,0.0
Singapore,75,0,0.0
Japan,59,1,1.694915254237288
Hong Kong,57,1,1.7543859649122806
Thailand,34,0,0.0
South Korea,29,0,0.0
Malaysia,22,0,0.0
Taiwan,20,1,5.0
Vietnam,16,0,0.0
Germany,16,0,0.0
US,15,0,0.0
Australia,15,0,0.0
France,12,1,8.333333333333332
Macau,10,0,0.0
United Arab Emirates,9,0,0.0
UK,9,0,0.0
Canada,7,0,0.0
Italy,3,0,0.0
India,3,0,0.0
Philippines,3,1,33.33333333333333
Spain,2,0,0.0
Russia,2,0,0.0
Sri Lanka,1,0,0.0
Sweden,1,0,0.0
Egypt,1,0,0.0
Finland,1,0,0.0
Cambodia,1,0,0.0
Belgium,1,0,0.0
Nepal,1,0,0.0
