Country_Region,Confirmed,Deaths,Mortality Rate
US,699706,36773,5.255493021354683
Spain,190839,20002,10.48108615115359
Italy,172434,22745,13.19055406706334
France,149130,18703,12.541406826258969
Germany,141397,4352,3.0778587947410485
United Kingdom,109769,14607,13.307035684027365
China,83760,4636,5.534861509073544
Iran,79494,4958,6.236948700530857
Turkey,78546,1769,2.2521834339113385
Belgium,36138,5163,14.286900215839282
Brazil,33682,2141,6.356510896027552
Canada,32814,1355,4.129335039921984
Russia,32008,273,0.8529117720569859
Netherlands,30619,3471,11.336098500930794
Switzerland,27078,1327,4.900657360218628
Portugal,19022,657,3.4538954894332874
Austria,14595,431,2.9530661185337443
India,14352,486,3.38628762541806
Ireland,13980,530,3.7911301859799713
Peru,13489,300,2.2240343983986954
Sweden,13216,1400,10.59322033898305
Israel,12982,151,1.1631489755045448
"Korea, South",10635,230,2.1626704278326283
Japan,9787,190,1.9413507714314906
Chile,9252,116,1.2537829658452226
Ecuador,8450,421,4.982248520710059
Poland,8379,332,3.9622866690535865
Romania,8067,411,5.094830792116029
Denmark,7268,336,4.623004953219593
Saudi Arabia,7142,87,1.218146177541305
Pakistan,7025,135,1.9217081850533808
Norway,6937,161,2.320887991927346
Czechia,6549,173,2.641624675522981
Australia,6522,66,1.011959521619135
United Arab Emirates,6302,37,0.587115201523326
Mexico,6297,486,7.71796093377799
Indonesia,5923,520,8.7793347965558
Philippines,5878,387,6.583872065328343
Serbia,5690,110,1.9332161687170473
Malaysia,5251,86,1.6377832793753573
Singapore,5050,11,0.21782178217821785
Belarus,4779,42,0.8788449466415568
Qatar,4663,7,0.15011794981771392
Ukraine,4662,125,2.681252681252681
Dominican Republic,4126,200,4.847309743092584
Panama,4016,109,2.7141434262948207
Finland,3489,82,2.3502436228145602
Luxembourg,3480,72,2.0689655172413794
Colombia,3439,153,4.4489677231753415
Egypt,2844,205,7.20815752461322
South Africa,2783,50,1.7966223499820337
Thailand,2700,47,1.7407407407407407
Argentina,2669,123,4.608467590857999
Morocco,2564,135,5.265210608424336
Algeria,2418,364,15.053763440860216
Moldova,2264,56,2.4734982332155475
Greece,2224,108,4.856115107913669
Bangladesh,1838,75,4.080522306855277
Croatia,1814,36,1.9845644983461963
Hungary,1763,156,8.848553601815087
Iceland,1754,9,0.5131128848346637
Bahrain,1740,7,0.40229885057471265
Kuwait,1658,5,0.30156815440289503
Kazakhstan,1546,17,1.0996119016817594
Iraq,1482,81,5.465587044534413
Estonia,1459,38,2.604523646333105
New Zealand,1409,11,0.7806955287437899
Uzbekistan,1405,4,0.2846975088967972
Azerbaijan,1340,15,1.1194029850746268
Slovenia,1304,66,5.061349693251533
Bosnia and Herzegovina,1214,46,3.789126853377265
Armenia,1201,19,1.5820149875104081
Lithuania,1149,33,2.8720626631853787
North Macedonia,1117,49,4.386750223813786
Oman,1069,6,0.5612722170252572
Slovakia,1049,9,0.8579599618684461
Cameroon,996,22,2.208835341365462
Cuba,923,31,3.358613217768147
Afghanistan,906,30,3.3112582781456954
Tunisia,864,37,4.282407407407407
Bulgaria,846,41,4.846335697399527
Cyprus,750,12,1.6
Djibouti,732,2,0.273224043715847
Diamond Princess,712,13,1.8258426966292134
Andorra,696,35,5.028735632183908
Cote d'Ivoire,688,6,0.872093023255814
Latvia,682,5,0.7331378299120235
Lebanon,668,21,3.143712574850299
Costa Rica,649,4,0.6163328197226503
Ghana,641,8,1.24804992199688
Niger,627,18,2.8708133971291865
Burkina Faso,557,35,6.283662477558348
Albania,539,26,4.823747680890538
Uruguay,502,9,1.7928286852589643
Nigeria,493,17,3.4482758620689653
Kyrgyzstan,489,5,1.0224948875255624
Kosovo,480,12,2.5
Guinea,477,3,0.628930817610063
Bolivia,465,31,6.666666666666667
Honduras,442,41,9.276018099547512
San Marino,435,39,8.96551724137931
Malta,422,3,0.7109004739336493
Jordan,407,7,1.71990171990172
West Bank and Gaza,402,2,0.4975124378109453
Taiwan*,395,6,1.5189873417721518
Georgia,370,3,0.8108108108108109
Senegal,342,2,0.5847953216374269
Mauritius,324,9,2.7777777777777777
Montenegro,303,5,1.65016501650165
Congo (Kinshasa),287,23,8.013937282229964
Vietnam,268,0,0.0
Kenya,246,11,4.471544715447155
Sri Lanka,244,7,2.8688524590163933
Guatemala,214,7,3.2710280373831773
Venezuela,204,9,4.411764705882353
Paraguay,199,8,4.0201005025125625
El Salvador,177,7,3.954802259887006
Mali,171,13,7.602339181286549
Tanzania,147,5,3.4013605442176873
Rwanda,143,0,0.0
Congo (Brazzaville),143,6,4.195804195804196
Jamaica,143,5,3.4965034965034967
Brunei,136,1,0.7352941176470588
Cambodia,122,0,0.0
Madagascar,117,0,0.0
Somalia,116,6,5.172413793103448
Trinidad and Tobago,114,8,7.017543859649122
Gabon,108,1,0.9259259259259258
Ethiopia,96,3,3.125
Monaco,94,3,3.1914893617021276
Burma,88,4,4.545454545454546
Togo,83,5,6.024096385542169
Liechtenstein,79,1,1.2658227848101267
Equatorial Guinea,79,0,0.0
Liberia,76,7,9.210526315789473
Barbados,75,5,6.666666666666667
Guyana,63,6,9.523809523809524
Cabo Verde,56,1,1.7857142857142856
Uganda,56,0,0.0
Bahamas,54,9,16.666666666666664
Zambia,52,2,3.8461538461538463
Libya,49,1,2.0408163265306123
Haiti,43,3,6.976744186046512
Guinea-Bissau,43,0,0.0
Syria,38,2,5.263157894736842
Benin,35,1,2.857142857142857
Eritrea,35,0,0.0
Mozambique,34,0,0.0
Sudan,33,6,18.181818181818183
Mongolia,31,0,0.0
Nepal,30,0,0.0
Maldives,28,0,0.0
Chad,27,0,0.0
Sierra Leone,26,0,0.0
