Country/Region,Confirmed,Deaths,Mortality Rate
Mainland China,77660,2663,3.429049703837239
South Korea,977,10,1.023541453428864
Others,691,3,0.43415340086830684
Italy,322,10,3.1055900621118013
Japan,170,1,0.5882352941176471
Iran,95,16,16.842105263157894
Singapore,91,0,0.0
Hong Kong,84,2,2.380952380952381
US,53,0,0.0
Thailand,37,0,0.0
Taiwan,31,1,3.225806451612903
Bahrain,23,0,0.0
Australia,22,0,0.0
Malaysia,22,0,0.0
Germany,17,0,0.0
Vietnam,16,0,0.0
France,14,1,7.142857142857142
United Arab Emirates,13,0,0.0
UK,13,0,0.0
Kuwait,11,0,0.0
Canada,11,0,0.0
Macau,10,0,0.0
Spain,6,0,0.0
India,3,0,0.0
Philippines,3,1,33.33333333333333
Austria,2,0,0.0
Oman,2,0,0.0
Russia,2,0,0.0
Switzerland,1,0,0.0
Sweden,1,0,0.0
Sri Lanka,1,0,0.0
Afghanistan,1,0,0.0
Nepal,1,0,0.0
Algeria,1,0,0.0
Israel,1,0,0.0
Iraq,1,0,0.0
Finland,1,0,0.0
Egypt,1,0,0.0
Croatia,1,0,0.0
Cambodia,1,0,0.0
Belgium,1,0,0.0
Lebanon,1,0,0.0
