Country/Region,Confirmed,Deaths,Mortality Rate
Mainland China,78065,2715,3.4778710049317874
South Korea,1261,12,0.9516256938937351
Others,705,4,0.5673758865248227
Italy,453,12,2.6490066225165565
Japan,189,2,1.0582010582010581
Iran,139,19,13.66906474820144
Singapore,93,0,0.0
Hong Kong,91,2,2.197802197802198
US,59,0,0.0
Thailand,40,0,0.0
Bahrain,33,0,0.0
Taiwan,32,1,3.125
Germany,27,0,0.0
Kuwait,26,0,0.0
Malaysia,22,0,0.0
Australia,22,0,0.0
France,18,2,11.11111111111111
Vietnam,16,0,0.0
United Arab Emirates,13,0,0.0
Spain,13,0,0.0
UK,13,0,0.0
Canada,11,0,0.0
Macau,10,0,0.0
Iraq,5,0,0.0
Oman,4,0,0.0
Croatia,3,0,0.0
Philippines,3,1,33.33333333333333
India,3,0,0.0
Sweden,2,0,0.0
Russia,2,0,0.0
Pakistan,2,0,0.0
Lebanon,2,0,0.0
Finland,2,0,0.0
Austria,2,0,0.0
Israel,2,0,0.0
Norway,1,0,0.0
Belgium,1,0,0.0
Brazil,1,0,0.0
Cambodia,1,0,0.0
Egypt,1,0,0.0
Switzerland,1,0,0.0
Sri Lanka,1,0,0.0
North Macedonia,1,0,0.0
Georgia,1,0,0.0
Greece,1,0,0.0
Algeria,1,0,0.0
Romania,1,0,0.0
Nepal,1,0,0.0
Afghanistan,1,0,0.0
