Country/Region,Confirmed,Deaths,Mortality Rate
Mainland China,76922,2441,3.1733444268219757
Others,634,2,0.31545741324921134
South Korea,433,2,0.4618937644341801
Japan,122,1,0.819672131147541
Singapore,85,0,0.0
Hong Kong,69,2,2.898550724637681
Italy,62,2,3.225806451612903
US,35,0,0.0
Thailand,35,0,0.0
Iran,28,5,17.857142857142858
Taiwan,26,1,3.8461538461538463
Malaysia,22,0,0.0
Australia,22,0,0.0
Vietnam,16,0,0.0
Germany,16,0,0.0
United Arab Emirates,13,0,0.0
France,12,1,8.333333333333332
Macau,10,0,0.0
UK,9,0,0.0
Canada,9,0,0.0
India,3,0,0.0
Philippines,3,1,33.33333333333333
Russia,2,0,0.0
Spain,2,0,0.0
Egypt,1,0,0.0
Cambodia,1,0,0.0
Israel,1,0,0.0
Sweden,1,0,0.0
Sri Lanka,1,0,0.0
Lebanon,1,0,0.0
Nepal,1,0,0.0
Belgium,1,0,0.0
Finland,1,0,0.0
