Country/Region,Confirmed,Deaths,Mortality Rate
Mainland China,78498,2744,3.495630461922597
South Korea,1766,13,0.7361268403171007
Others,705,4,0.5673758865248227
Italy,655,17,2.595419847328244
Iran,245,26,10.612244897959183
Japan,214,4,1.8691588785046727
Singapore,93,0,0.0
Hong Kong,92,2,2.1739130434782608
US,60,0,0.0
Germany,46,0,0.0
Kuwait,43,0,0.0
Thailand,40,0,0.0
France,38,2,5.263157894736842
Bahrain,33,0,0.0
Taiwan,32,1,3.125
Malaysia,23,0,0.0
Australia,23,0,0.0
Vietnam,16,0,0.0
Spain,15,0,0.0
UK,15,0,0.0
Canada,13,0,0.0
United Arab Emirates,13,0,0.0
Macau,10,0,0.0
Switzerland,8,0,0.0
Iraq,7,0,0.0
Sweden,7,0,0.0
Oman,4,0,0.0
Israel,3,0,0.0
India,3,0,0.0
Croatia,3,0,0.0
Austria,3,0,0.0
Philippines,3,1,33.33333333333333
Greece,3,0,0.0
Russia,2,0,0.0
Pakistan,2,0,0.0
Lebanon,2,0,0.0
Finland,2,0,0.0
Norway,1,0,0.0
Belgium,1,0,0.0
Brazil,1,0,0.0
Cambodia,1,0,0.0
Denmark,1,0,0.0
Egypt,1,0,0.0
Estonia,1,0,0.0
Sri Lanka,1,0,0.0
North Macedonia,1,0,0.0
Georgia,1,0,0.0
Algeria,1,0,0.0
Nepal,1,0,0.0
San Marino,1,0,0.0
Netherlands,1,0,0.0
Romania,1,0,0.0
Afghanistan,1,0,0.0
